id,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,altitude_mean_meters,Altitude_classfy
1350,Robusta,Arovin Coffee Farm,Vietnam,Arovin Coffee Farm,Arovin-special-2021,Arovin Coffee Farm,None,"Arovin Coffee Co., Ltd.",Gia Lai Province,Arovin Coffee Farm,50,60 kg,Stone Village Lab & Institute Of Quality,2021,"November 16th, 2021",Arovin Coffee Farm,Robusta TR4,Natural / Dry,8.0,7.92,7.83,8.08,8.08,7.92,10.0,10.0,8.0,8.0,83.83,11.5 %,0 full defects,0,Green yellow,0 full defects,"November 16th, 2022",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,800,0-1000
1351,Robusta,Stone Village Lab & Education,Vietnam,Ms.Duom's Farm,SV-ICP VN002,Ms.Duom's Farm,None,Stone Village Lab ICP - Vietnam,Dak Nong,Ms.Duom,5,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta,Natural / Dry,8.0,8.0,7.5,8.0,7.92,7.75,10.0,10.0,8.0,8.08,83.25,9.9 %,0 full defects,0,yellow-green,0 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,675,0-1000
1352,Robusta,Stone Village Lab & Education,Vietnam,Aeroco Coffee,SV-ICP VN009,Aeroco Coffee,None,Stone Village Lab ICP - Vietnam,Dak Lak,Mr.Tu,13,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 31st, 2022",Stone Village Lab & Education,TR4,Natural / Dry,8.0,8.0,7.92,8.0,7.75,7.75,10.0,10.0,7.92,7.92,83.25,10.6 %,0 full defects,0,yellow-green,0 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,635,0-1000
1353,Robusta,LUU VINH QUANG,Vietnam,TAMBA COFFEE FARM,NATURAL TAMBA,TAMBA COFFEE FARM,None,CÔNG TY TNHH SX&DV TAMBA,Gia Lai Province,TAMBA COFFEE,40,50 kg,Stone Village Lab & Institute Of Quality,2021,"September 14th, 2021",LUU VINH QUANG,Robusta- tr4,Natural / Dry,7.75,7.92,7.58,7.83,8.0,8.0,10.0,10.0,7.92,8.0,83.0,10.5 %,0 full defects,0,Yellowish-green,1 full defects,"September 14th, 2022",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,750,0-1000
1354,Robusta,Simexco DakLak,Vietnam,EATAN COOPERATION,VNR-S5,SIMEXCO DAKLAK,None,SIMEXCO DAKLAK LTD,VIETNAM,SIMEXCO DAKLAK,50,60 kg,Alliance for Coffee Excellence,2020,"July 7th, 2021",Simexco DakLak,Unknown,Pulped natural / honey,7.92,7.83,7.75,7.75,8.0,7.75,10.0,10.0,8.08,7.83,82.92,13.5 %,0 full defects,0,Blue-Green,0 full defects,"July 7th, 2022",Alliance for Coffee Excellence,"2250 NW 22nd Ave, Ste. 612 Portland, OR 97210",Alex Pond -,800,0-1000
1355,Robusta,Stone Village Lab & Education,Vietnam,Van Tho's Farm,SV-ICP VN014,Van Tho's Farm,None,Stone Village Lab ICP - Vietnam,Gia Lai Province,Mr. Thao,2,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta TR4,Honeyed Natural,8.0,7.92,7.67,7.92,7.83,7.83,10.0,10.0,7.92,7.83,82.92,9.4 %,0 full defects,0,Green,1 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,750,0-1000
1356,Robusta,Stone Village Lab & Education,Vietnam,Phuoc An Coffee Farm,SV-ICP VN0012,Phuoc An Coffee Farm,None,Stone Village Lab ICP - Vietnam,Dak Lak,Mr.Van,35,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta,Natural - CADA 2,7.92,7.75,7.75,7.83,7.75,7.75,10.0,10.0,8.0,7.83,82.58,10.5 %,0 full defects,0,Green,1 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,850,0-1000
1357,Robusta,Stone Village Lab & Education,Vietnam,Mr.Cuong’s farm,SV-ICP VN010,Mr.Cuong’s farm,None,Stone Village Lab ICP - Vietnam,Dak Lak,Mr.Cuong,5,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 31st, 2022",Stone Village Lab & Education,Robusta,Natural / Dry,7.92,7.83,7.83,7.75,7.75,7.75,10.0,10.0,7.75,7.67,82.25,10.1 %,0 full defects,0,Green,0 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,700,0-1000
1358,Robusta,SOUL Specialty Coffee Vietnam,Vietnam,SONG LINH,SL-RN01,SOUL,2kg,"Songlinh Co., Ltd",Buon Ma Thuot - Dak Lak,"Songlinh Co., Ltd",60,30 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2021,"November 15th, 2021",SOUL Specialty Coffee Vietnam,Ca Day,Natural / Dry,8.25,7.67,7.58,7.83,7.67,7.58,10.0,10.0,7.83,7.75,82.17,10 %,0 full defects,0,Pale Yellow,4 full defects,"November 15th, 2022",Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City","Hai,Tran Quang. -",600,0-1000
1359,Robusta,Stone Village Lab & Education,Vietnam,Mr.Chau's Farm,SV-ICP VN004,Future Coffee Farm,None,Stone Village Lab ICP - Vietnam,LAM DONG,Mr.Chau,2,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta 138,Washed / Wet,7.67,7.75,7.58,7.92,7.75,7.83,10.0,10.0,7.75,7.75,82.0,10.1 %,0 full defects,0,Green,0 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,875,0-1000
1360,Robusta,Stone Village Lab & Education,Vietnam,FRD Farm,SV-ICP VN003,FRD Farm,None,Stone Village Lab ICP - Vietnam,Dak Nong,Mr.Phu,10,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta Se,Pulped natural / honey,7.83,7.67,7.67,7.75,7.75,7.67,10.0,10.0,7.75,7.75,81.83,10.5 %,0 full defects,0,Green,1 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,550,0-1000
1361,Robusta,Stone Village Lab & Education,Vietnam,UCK Farm,SV-ICP VN007,UCK Farm,None,Stone Village Lab ICP - Vietnam,Lam Dong,Mr. Uck Bondong,5,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 31st, 2022",Stone Village Lab & Education,Robusta,Pulped natural / honey,7.67,7.75,7.75,7.67,7.75,7.83,10.0,10.0,7.75,7.67,81.83,12.9 %,0 full defects,0,Green,1 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,1200,1001-2000
1362,Robusta,Ernest George Mhlanga,India,Bioroots ApS,Indian robusta parchment AB,washed /wet,None,Bioroots ApS,Asia,Bioroots ApS,1,2 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"November 24th, 2021",Ernest George Mhlanga,Unknown,Washed / Wet,7.92,7.83,7.83,7.83,7.92,7.83,8.67,10.0,7.92,7.92,81.67,9.9 %,0 full defects,2,brownish,8 full defects,"November 24th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,1000,0-1000
1363,Robusta,Stone Village Lab & Education,Vietnam,Po Ko Farms,SV-ICP VN015,Po Ko Farms,None,Stone Village Lab ICP - Vietnam,Kon Tum,Po Ko Farms,25,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta,Pulped natural / honey,7.75,7.67,7.75,7.58,7.67,7.58,10.0,10.0,7.83,7.67,81.5,10 %,0 full defects,0,Green,2 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,650,0-1000
1364,Robusta,Ernest George Mhlanga,Uganda,Bioroots ApS,Uganda sundried robusta,dry mill,None,Bioroots ApS,Asia,Bioroots ApS,1,2 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2020,"November 24th, 2021",Ernest George Mhlanga,Arusha,Natural / Dry,7.92,7.5,7.58,7.58,7.58,7.58,10.0,10.0,7.5,7.67,80.92,8.6 %,7 full defects,3,brownish,10 full defects,"November 24th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,2300,2001-3000
1365,Robusta,Stone Village Lab & Education,Vietnam,Enjoy Coffee,SV-ICP VN001,Enjoy Coffee,None,Stone Village Lab ICP - Vietnam,Dak Nong,Mr. Phong,50,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 29th, 2022",Stone Village Lab & Education,Robusta,White Honey,7.67,7.67,7.42,7.5,7.5,7.67,10.0,10.0,7.58,7.75,80.75,8.3 %,0 full defects,0,Green,3 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,675,0-1000
1366,Robusta,Stone Village Lab & Education,Vietnam,Dung's Farm,SV-ICP VN011,Dung's Farm,None,Stone Village Lab ICP - Vietnam,Dak Lak,Mr.Dung,5,60 kg,Stone Village Lab & Institute Of Quality,2022,"March 31st, 2022",Stone Village Lab & Education,Robusta Se,Natural / Dry,7.58,7.58,7.58,7.42,7.58,7.58,10.0,10.0,7.67,7.58,80.58,11.5 %,0 full defects,0,Green,1 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,700,0-1000
1367,Robusta,Matilda Agrotech,Thailand,Thong Pha Phum,A1,Community Coffee Mill,None,Matilda Agrotech,Kanchanaburi,Thong Pha Phum District Coffee Community Enterprise,40,50 kg,Stone Village Lab & Institute Of Quality,2020,"November 12th, 2021",Matilda Agrotech,Robusta,Natural / Dry,7.67,7.42,7.42,7.58,7.67,7.58,10.0,10.0,7.42,7.5,80.25,10.6 %,0 full defects,0,Pale yellow,4 full defects,"November 12th, 2022",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,650,0-1000
1368,Robusta,Matilda Agrotech,Thailand,Thong Pha Phum,A2,Community Coffee Mill,None,Matilda Agrotech,Kanchanaburi,Thong Pha Phum District Coffee Community Enterprise,10,50 kg,Stone Village Lab & Institute Of Quality,2020,"November 12th, 2021",Matilda Agrotech,Robusta,Pulped natural / honey,7.42,7.67,7.17,7.42,7.58,7.33,10.0,10.0,7.5,7.67,79.75,9.9 %,0 full defects,0,Yellow green,12 full defects,"November 12th, 2022",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,650,0-1000
1369,Arabica,Coffee Quality Union,Colombia,Finca El Paraiso,CQU2022001,Finca El Paraiso,None,Coffee Quality Union,"Cauca Department, municipality of Piendamo",Diego Samuel Bermudez,1,30 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,Castillo,Double anaerobic fermentation,8.5,8.33,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.42,88.0,11.7 %,0 full defects,1,Greenish,4 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1815,1001-2000
1370,Arabica,Hsu Ting Yey許定燁,Taiwan,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,1,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,None,Taiwan Coffee Laboratory,"嘉義縣 Alishan Township, Chiayi County","許定燁 Hsu, Ying-Yeh",1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",Hsu Ting Yey許定燁,Gesha,Natural / Dry,8.58,8.5,7.83,8.25,7.92,8.17,10.0,10.0,10.0,8.42,87.67,10.6 %,0 full defects,0,Green,0 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",1200,1001-2000
1371,Arabica,Qingshanping,Taiwan,QingShanPingKaFeiNongChang青山坪咖啡農場,202104,yes,None,QingShanPingKaFeiNongChang青山坪咖啡農場,"Caoling, Gukeng Township, Yunlin County",王清連,8,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Qingshanping,Gesha,Natural / Dry,8.25,8.25,8.08,8.33,8.0,8.17,10.0,10.0,10.0,8.17,87.25,11.8 %,0 full defects,1,Green,3 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,800,0-1000
1372,Arabica,Coffee Quality Union,Ethiopia,Halo Barti cooperative,CQU2022010,Halo Barti cooperative,None,Coffee Quality Union,"Gedeb,Yirgacheffe,Sidamo",Halo Barti cooperative,8,10 kg,Japan Coffee Exchange,2021,"May 2nd, 2022",Coffee Quality Union,"Wolishalo,Kurume,Dega",Washed / Wet,8.25,8.25,8.08,8.25,8.0,8.0,10.0,10.0,10.0,8.25,87.08,11.7 %,0 full defects,2,Green,3 full defects,"May 2nd, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,2000,1001-2000
1373,Arabica,Coffee Quality Union,Ethiopia,Niguse Gemeda Mude,CQU2022003,Niguse Gemeda Mude,None,Coffee Quality Union,"Haisa, Karamo, Sidamo",Niguse Gemeda Mude,1,5 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,74158（Kudhume subspecies）,Natural / Dry,8.33,8.25,8.17,8.08,8.0,8.0,10.0,10.0,10.0,8.25,87.08,11.8 %,0 full defects,0,yellow green,0 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,2350,2001-3000
1374,Arabica,Olkai Coffee Export,Ethiopia,Chirecha,Chirecha,Tagel Alemayehu washed and dry coffee processing facility.,None,Olkai Coffee Export,Oromia,Tagel Alemayehu,320,19200 kg,Coffee Laboratory LTD,2021,"September 27th, 2021",Olkai Coffee Export,Ethiopian Heirlooms,Natural / Dry,7.83,8.08,8.08,8.42,7.92,8.08,10.0,10.0,10.0,8.08,86.5,11.3 %,0 full defects,3,yeloow-green,0 full defects,"September 27th, 2022",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937,2200,2001-3000
1375,Arabica,Dongbi,Taiwan,Dongbi-manor東碧咖啡莊園,20210303,yes,None,Dongbi-manor東碧咖啡莊園,"Shek Pik, Gukeng Township, Yunlin County",陳景立,10,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Dongbi,Gesha,Pulped natural / honey,8.0,8.17,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.17,86.33,11.6 %,0 full defects,0,greenish,1 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1300,1001-2000
1376,Arabica,Goodfun,Taiwan,Good Fun Coffee Manor古峰咖啡莊園,1100302,yes,None,Good Fun Coffee Manor古峰咖啡莊園,"Shek Pik, Gukeng Township",YanheLai賴彥合,10,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Goodfun,Gesha,Washed / Wet,8.0,8.08,8.0,8.17,7.92,8.0,10.0,10.0,10.0,8.08,86.25,11.8 %,0 full defects,1,Green,0 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1200,1001-2000
1377,Arabica,郭亮志 GuoLiangZhi,Taiwan,嵩岳咖啡Songyue Coffee Manor,1,嵩岳咖啡Songyue Coffee Manor,None,Taiwan Coffee Laboratory,"雲林縣古坑鄉 Gukeng Township, Yunlin County",郭亮志 Guo Liang Zhi,2,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",郭亮志 GuoLiangZhi,Gesha,Natural / Dry,8.17,8.17,7.83,8.0,7.83,8.08,10.0,10.0,10.0,8.08,86.17,9.1 %,0 full defects,0,Green,1 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",1200,1001-2000
1378,Arabica,SOLOMON WORKU,Ethiopia,SOLOMON WORKU,8.33,SOLOMON WORKU COFFEE PROCESSING,010/0115/0038,SMS PLC,ADDIS ABABA,SOLOMON WORKU COFFEE PROCESSING,250,60 kg,METAD Agricultural Development plc,2020,"June 4th, 2021",SOLOMON WORKU,Ethiopian Yirgacheffe,Washed / Wet,8.0,8.0,7.92,8.0,8.08,8.0,10.0,10.0,10.0,8.0,86.0,9.3 %,0 full defects,4,Blue-Green,1 full defects,"June 4th, 2022",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",1950,1001-2000
1379,Arabica,SOLOMON WORKU,Ethiopia,Solomon Worku coffee industry,8.33,Hulling Facility,010/0115/0038,SMS PLC,Yirgacheffe,Solomon Worku,250,60 kg,METAD Agricultural Development plc,2020,"June 24th, 2021",SOLOMON WORKU,Ethiopian Yirgacheffe,Washed / Wet,8.0,7.92,8.08,8.0,8.08,8.0,10.0,10.0,10.0,7.92,86.0,9.3 %,0 full defects,1,Greenish,3 full defects,"June 24th, 2022",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",1950,1001-2000
